Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,correct,outlier_features,uuid,algorithm
28240720UB,2000.0,,0.0,0.0,0,0,F,40.0,216,216.0,Z012,Z1,0.0,0,0,1,,3000,3000.0,5300264683.0,0.0,1,999,010402000,ST,,,a4b69f534d1d40ed8bb6ac82f277d0e0,RoSAS
27032217,2100.0,,0.0,0.0,0,0,F,41.0,211,211.0,,Z7,10.0,848,84.8,1,,2901,2901.0,5300548723.0,0.0,1,42,060100000,ST,,,ba343cec51474130975a144a1b127903,XGBOD
37012201,702855.0,,0.0,0.0,0,0,F,,203,203.0,Z010,Y5,4020.0,1996475,496.63557213930346,1,E13,2100,,5300196250.0,0.0,2,210,030201000,ST,,,3ec79931e90645638db9e47710a6f857,XGBOD
00345325,2100.0,,0.0,0.0,0,0,F,41.0,215,215.0,Z011,Y2,0.0,0,0,1,E13,2000,2000.0,5300366344.0,0.0,2,84,080100000,ST,,,5db0d82540b0412aa8ed12265f2bae63,XGBOD
34067609,701037.0,,0.0,0.0,0,0,F,,203,203.0,Z006,Y3,30.0,11771,392.3666666666667,1,E13,2000,,5300083918.0,2.0,1,126,050100000,ST,,,7e578bc8330e41d5989e76a0451f550d,XGBOD
00370555,700020.0,5500001751.0,10.0,4.0,4,60,F,,708,708.0,Z011,X4,23990.0,10601,0.44189245518966236,100,E20,2000,,5300004333.0,0.0,1,4,140100000,ST,,,579f7d8af0464b249ffcfab8bd7ff24d,XGBOD
60008039,2000.0,,0.0,0.0,0,0,F,40.0,216,216.0,Z012,Z1,0.0,0,0,1,,3000,3000.0,5300355831.0,0.0,1,999,010401000,ST,,,b2e0d80cdecb494ab45f5b47bb832851,RoSAS
00370540,701806.0,5500000647.0,10.0,4.0,4,60,F,,708,708.0,Z011,V5,810.0,2723,3.3617283950617285,1,E98,2100,,5300174183.0,0.0,2,4,140100000,ST,,,c8244fa11c054547932884e711bcdbec,RoSAS
60113057,702686.0,5500007687.0,10.0,28.0,28,112,F,,715,715.0,Z003,Y4,580.0,248571,428.57068965517243,1,E13,2100,,5300527948.0,3.0,1,84,080100000,ST,,,ae3a48eea6cc4225b26f1e1bd5d60d01,XGBOD
00240074,700223.0,4600011854.0,10.0,186.0,0,0,F,,208,208.0,Z011,Y2,0.0,0,0,1,E13,2000,,5300009413.0,0.0,1,7,090300000,ST,,,b54d2e2dbe5b4e9896d7aeed04a139e1,"XGBOD, RoSAS"
