Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,uuid,algorithm,correct
34069401,710155.0,5500008763.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,180.0,64674,359.3,1,,2000,,5300460733.0,3.0,1,28,40200000,ST,570d85313f2b46d392656d61c95cd47d,"ECOD, COPOD",1
34069711,710155.0,5500008765.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,3900.0,123552,31.68,1,,2100,,5300460732.0,3.0,1,14,40100000,ST,130f017a7c3647f4b59a490ae0943057,"ECOD, COPOD",1
23010202,701528.0,5500007784.0,10.0,14.0,14,56,F,,702,702.0,Z011,Y5,13340.0,324276,24.308545727136437,1,E13,3000,,5300038348.0,0.0,1,196,60100000,ST,433960a0d6f94a7c9adb6da23431c9ea,"ECOD, COPOD",1
23010202,701528.0,5500007783.0,10.0,14.0,14,56,F,,202,202.0,Z011,Y5,221160.0,5593229,25.290418701392657,1,E13,2100,,5300038348.0,0.0,1,196,60100000,ST,0547f1fc25cd4725beb2d388360de7bc,"ECOD, kNN, COPOD, IForest",1
23246101,701528.0,5500008853.0,10.0,14.0,14,56,F,,202,202.0,Z011,Y5,86360.0,5777481,66.89996526169523,1,E13,2000,,5300059828.0,0.0,1,196,60100000,ST,edfe57b61fe9412faa272b886084a7d1,"ECOD, kNN, COPOD, IForest",1
23010202,701528.0,5500007784.0,10.0,14.0,14,56,F,,702,702.0,Z011,Y5,13340.0,324276,24.308545727136437,1,E13,3000,,5300038348.0,0.0,1,196,60100000,ST,f0d58ffdc14e4b1e8d0b042c71f38175,"ECOD, COPOD, IForest",1
23010202,701528.0,5500007783.0,10.0,14.0,14,56,F,,202,202.0,Z011,Y5,221160.0,5593229,25.290418701392657,1,E13,2100,,5300038348.0,0.0,1,196,60100000,ST,48b789a55e3748ca9b809f332184888d,"ECOD, kNN, COPOD, IForest",1
00130996,707032.0,5500008421.0,10.0,14.0,14,180,F,,702,702.0,Z011,Y5,8200.0,944021,115.12451219512197,1,E11,2000,,5300465586.0,0.0,1,180,30100000,ST,2b5783ad008b434082738e4a59297d86,"ECOD, COPOD",1
34063504,2000.0,,0.0,0.0,0,0,F,40.0,202,202.0,Z003,Z5,0.0,0,0.0,1,,2700,2700.0,53xxxxxxxxx,0.0,1,7,40100000,ST,f5f648e9c48345b39ba1b231698d8803,kNN,1
00384096,2100.0,,0.0,0.0,0,0,F,41.0,202,202.0,Z012,Z5,6970.0,2746289,394.0156384505021,1,,3000,3000.0,5300197042.0,0.0,1,175,130100000,ST,ec49e12a618f458da98e48e4004c10b7,kNN,1
23243801,3000.0,,0.0,0.0,0,0,F,40.0,202,202.0,Z001,Z4,0.0,0,0.0,100,,2100,3000.0,53xxxxxxxxx,0.0,1,2,10102000,ST,37e8ee6035d841c9bd59dcc6017832f1,kNN,1
60069261,3000.0,,0.0,0.0,0,0,F,42.0,208,208.0,Z012,Z2,53210.0,205235,3.8570757376433,100,,2000,,,,1,4,140200000,ST,af577e1a55844a948cb3a51f571ffadc,"kNN, IForest",1
34063504UB,709868.0,,0.0,0.0,0,0,F,,202,202.0,Z011,Y9,8010.0,1729386,215.9033707865169,1,E15,2000,,5300169170.0,0.0,1,105,40100000,ST,e556b94d1c9047f8bb140b5b738d8705,kNN,1
60079111,709890.0,4600012023.0,50.0,112.0,0,0,F,30.0,202,202.0,Z011,Y9,50000.0,354095,7.0819,100,E13,3000,,5300466907.0,3.0,1,112,50400000,ST,b426f41be2544628bc37f79d4867e168,"ECOD, COPOD",1
60095840,701306.0,4600012262.0,10.0,42.0,0,0,F,,202,202.0,Z001,Y3,4110.0,1051338,255.8,1,E13,2100,,5300499336.0,0.0,1,182,30100000,ST,f237492804324c56a274e37e5e3b997e,kNN,1
24041571,701306.0,4600012507.0,10.0,42.0,0,0,F,,202,202.0,Z001,Y9,5950.0,2047434,344.1065546218487,1,E13,2000,,5300425304.0,0.0,1,182,30202000,ST,2ab65b503f6d47b8b0683a82d3d0bd5a,kNN,1
60034843,701306.0,4600012562.0,10.0,42.0,0,0,F,,202,202.0,Z001,Y9,7820.0,3074168,393.1161125319693,1,E13,3000,,5300499791.0,0.0,1,182,30202000,ST,80de8afe9514453481c949ca687e3365,kNN,1
00311069,701306.0,4600011944.0,10.0,28.0,0,0,F,,202,202.0,Z001,Y9,28400.0,880699,31.010528169014083,1,E13,2100,,5300005368.0,0.0,1,182,30202000,ST,5fb99705614e4f6796a4faf1062119c7,"ECOD, COPOD, IForest",1
60079109,3000.0,,,,0,0,F,42.0,202,202.0,Z011,Y9,38260.0,2728778,71.32195504443283,100,E13,2100,3000.0,53xxxxxxxxx,0.0,1,3,50400000,ST,ab586c20216445e89f8831ef4099ebbc,"ECOD, COPOD, IForest",1
60076544,701318.0,,0.0,0.0,0,0,F,30.0,202,202.0,Z001,Y3,80.0,2589576,32369.7,1,E13,2100,,5300458505.0,3.0,1,42,10403000,ST,7d1005650b264b55a854742935ec13ff,kNN,1
60053595,709890.0,,0.0,0.0,0,0,F,30.0,202,202.0,Z011,Y2,44570.0,3110986,69.8,1,E13,2100,,5300419200.0,3.0,1,112,50400000,ST,d1d2099e5ed0451c9eab1028ebb70ff2,kNN,1
00310700,700074.0,4600011737.0,10.0,42.0,0,0,F,,202,202.0,Z010,Z3,12470.0,165682,13.28644747393745,1,,2000,,5300003539.0,0.0,1,112,40400000,ST,2d00b998c10041dd8bab79b2cb10f1e7,ECOD,1
60079109,709890.0,4600012023.0,30.0,112.0,0,0,F,30.0,202,202.0,Z011,Y9,44270.0,3157425,71.32200135531963,100,E13,3000,,5300466908.0,3.0,1,112,50400000,ST,f30c56134ff4490db8f95ee7d26afdee,"ECOD, COPOD",1
00311069,701306.0,4600011944.0,10.0,28.0,0,0,F,,202,202.0,Z001,Y9,2130.0,661009,310.33286384976526,1,E13,2000,,5300005368.0,0.0,1,182,30202000,ST,d06df0a06b1443048b606bf0919966a1,"ECOD, COPOD",1
60053595,709890.0,,0.0,0.0,0,0,F,30.0,202,202.0,Z011,Y2,44570.0,3110986,69.8,1,E13,2100,,5300419200.0,3.0,1,112,50400000,ST,fbc4e55cc9454238a2eed6169cec22b0,kNN,1
60053593,709890.0,,0.0,0.0,0,0,F,30.0,202,202.0,Z011,Y2,49290.0,3272856,66.4,1,E13,2100,,5300419199.0,3.0,1,112,50400000,ST,b3015b7594434b40882aa659c0f0e0a4,kNN,1
60079111,709890.0,4600012023.0,50.0,112.0,0,0,F,30.0,202,202.0,Z011,Y9,50000.0,354095,7.0819,100,E13,3000,,5300466907.0,3.0,1,112,50400000,ST,ad4eaceac6e04c549b9fb56b3f5c425b,"ECOD, COPOD",1
60079111,3000.0,,,,0,0,F,42.0,202,202.0,Z011,Y9,30380.0,2151481,70.81899275839368,100,E13,2100,3000.0,53xxxxxxxxx,0.0,1,3,50400000,ST,de49120553be440d8bcf1bc2c48a433a,"ECOD, COPOD",1
34495600,701318.0,,0.0,0.0,0,0,F,30.0,202,202.0,Z001,Y2,90.0,1377711,15307.9,1,E13,2100,,5300169112.0,3.0,1,42,10403000,ST,d3c88d687ae64e2eabc20b79b6ad2ff6,kNN,1
60079109,3000.0,,,,0,0,F,42.0,202,202.0,Z011,Y9,38260.0,2728778,71.32195504443283,100,E13,2100,3000.0,53xxxxxxxxx,0.0,1,3,50400000,ST,7d4c53e7dc004fba927d2daf50b3580a,"ECOD, COPOD, IForest",1
