Contract Position,Base unit,Product group,Procurement type,Total value,Material master time,Buyer,Contract,Fixed contract 1,Plant,Information record type,Total quantity,Material number,Purchasing group,Supplier,Price unit,Fulfillment time,Calendar,Special procurement type,Purchasing lot size,Plant information record,Information record number,Dispatcher,Fixed contract 2,anomaly
0.0,ST,40100000,F,2998053,105,202.0,,0.0,2000,0.0,9580.0,34071551UB,Z011,716090.0,1,0.0,E15,,Y9,,5300464574.0,202,0.0,1
0.0,ST,30202000,F,21319237,160,202.0,,0.0,3000,0.0,51000.0,00311408,Z001,701306.0,1,0.0,E13,,Y9,,5300387809.0,202,0.0,1
20.0,ST,30202000,F,1037401,182,202.0,4600011191.0,0.0,2100,0.0,2120.0,60028842,Z001,701306.0,1,42.0,E13,,Y9,,5300427271.0,202,0.0,1
0.0,ST,40100000,F,942629,105,202.0,,0.0,2000,0.0,2080.0,34063503UB,Z011,709868.0,1,0.0,E13,,Y9,,5300169169.0,202,0.0,1
10.0,ST,60100000,F,952322,196,202.0,4600012409.0,0.0,2000,0.0,8880.0,23104001,Z011,701165.0,1,28.0,E13,,Y5,,5300093019.0,202,0.0,1
10.0,ST,30202000,F,2113162,182,202.0,4600010834.0,0.0,2100,0.0,2490.0,00311349,Z001,701306.0,1,42.0,E13,,Y9,,5300387805.0,202,0.0,1
20.0,ST,40100000,F,4328156,154,202.0,4600012860.0,0.0,2100,0.0,19300.0,60021564,Z001,700074.0,1,28.0,E12,,Y5,,5300373590.0,202,0.0,1
10.0,ST,30202000,F,1977682,182,202.0,4600011191.0,0.0,2100,0.0,3950.0,00311578,Z001,701306.0,1,42.0,E13,,Y9,,5300192134.0,202,0.0,1
0.0,ST,40100000,F,4176708,105,202.0,,0.0,2000,0.0,12960.0,34069401UB,Z011,716090.0,1,0.0,E15,,Y9,,5300464523.0,202,0.0,1
0.0,ST,40100000,F,1218262,105,202.0,,0.0,2000,0.0,3290.0,34071201UB,Z011,716090.0,1,0.0,E15,,Y9,,5300464572.0,202,0.0,1
10.0,ST,30202000,F,2945293,182,202.0,4600010834.0,0.0,2000,0.0,3490.0,00311349,Z001,701306.0,1,42.0,E13,,Y9,,5300387805.0,202,0.0,1
0.0,ST,40100000,F,2859306,105,202.0,,0.0,2000,0.0,15830.0,34063502UB,Z011,709868.0,1,0.0,E15,,Y9,,5300169164.0,202,0.0,1
0.0,ST,40100000,F,2355057,105,202.0,,0.0,2000,0.0,8920.0,34069711UB,Z011,716090.0,1,0.0,E15,,Y9,,5300464532.0,202,0.0,1
0.0,ST,40100000,F,2071305,105,202.0,,0.0,2000,0.0,11450.0,60063162,Z011,716090.0,1,0.0,E15,,Y9,,5300464593.0,202,0.0,1
0.0,ST,40200000,F,1361984,105,202.0,,0.0,2100,0.0,2080.0,60021310,Z010,709223.0,1,0.0,,,Z3,,5300387134.0,202,0.0,1
10.0,ST,60100000,F,5777481,196,202.0,4600012284.0,0.0,2000,0.0,86360.0,23246101,Z011,701165.0,1,28.0,E13,,Y5,,5300022034.0,202,0.0,1
0.0,ST,30202000,F,5268319,160,202.0,,0.0,2100,0.0,13120.0,00311408,Z001,701306.0,1,0.0,E13,,Y9,,5300387809.0,202,0.0,1
0.0,ST,40100000,F,1729386,105,202.0,,0.0,2000,0.0,8010.0,34063504UB,Z011,716090.0,1,0.0,E15,,Y9,,5300464562.0,202,0.0,1
0.0,ST,40100000,F,1130971,168,202.0,,0.0,2100,0.0,5400.0,60075812,Z010,707587.0,1,0.0,,,Z3,,5300457674.0,202,0.0,1
10.0,ST,30202000,F,2631994,182,202.0,4600012540.0,0.0,3000,0.0,38530.0,00311357,Z001,701306.0,1,42.0,E13,,Y9,,5300387807.0,202,0.0,1
10.0,ST,40400000,F,1671155,170,202.0,4600012881.0,0.0,2100,0.0,10630.0,60063164,Z011,716508.0,1,80.0,E13,,Y5,,5300470818.0,202,0.0,1
10.0,ST,40400000,F,1423179,168,202.0,4600011025.0,0.0,2000,0.0,5400.0,34071101UB,Z010,700074.0,1,28.0,,,Z1,,5300150443.0,202,0.0,1
10.0,ST,30202000,F,4781785,182,202.0,4600012128.0,0.0,3000,0.0,9740.0,60028842,Z001,701306.0,1,42.0,E13,,Y9,,5300427271.0,202,0.0,1
10.0,ST,30202000,F,7682551,182,202.0,4600011191.0,0.0,3000,0.0,15350.0,00311578,Z001,701306.0,1,42.0,E13,,Y5,,5300192134.0,202,0.0,1
0.0,ST,40100000,F,2859306,105,202.0,,0.0,2000,0.0,15830.0,34063502UB,Z011,716090.0,1,0.0,E15,,Y9,,5300464560.0,202,0.0,1
20.0,ST,30202000,F,2277261,182,202.0,4600012130.0,0.0,3000,0.0,7340.0,60034846,Z001,701306.0,1,42.0,E13,,Y5,,5300507501.0,202,0.0,1
0.0,ST,40200000,F,2120032,98,202.0,,0.0,2000,0.0,320.0,21270013UB,Z010,709223.0,1,0.0,,,Z3,,5300195122.0,202,0.0,1
10.0,ST,30202000,F,37072879,182,202.0,4600011944.0,0.0,3000,0.0,119470.0,00311069,Z001,701306.0,1,28.0,E13,,Y9,,5300005368.0,202,0.0,1
0.0,ST,40400000,F,1671155,170,202.0,,0.0,2100,0.0,10630.0,60063164,Z011,701165.0,1,0.0,E13,,Y5,,5300458428.0,202,0.0,1
10.0,ST,30202000,F,1380059,182,202.0,4600012540.0,0.0,2100,0.0,2020.0,00311357,Z001,701306.0,1,42.0,E13,,Y9,,5300387807.0,202,0.0,1
10.0,ST,40100000,F,2102286,28,202.0,4600012860.0,0.0,2100,0.0,9260.0,60021501,Z001,700074.0,1,28.0,E12,,Y5,,5300373591.0,202,0.0,1
10.0,ST,30100000,F,1017338,196,202.0,4600012377.0,0.0,2100,0.0,8480.0,00130996,Z011,701165.0,1,28.0,E13,,Y5,,5300084738.0,202,0.0,1
10.0,ST,60100000,F,5593229,196,202.0,4600012706.0,0.0,2100,0.0,221160.0,23010202,Z011,701165.0,1,28.0,E13,,Y5,,5300038317.0,202,0.0,1
