,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
66,95183657,2000,,0,,,,F,40.0,202,202.0,Z012,Z1,,,100,,3000,2700.0,5300311795.0,0.0,1,999.0,10102000,ST,1
67,60059305,2000,,0,,,,F,40.0,216,216.0,Z001,Z1,,,1,,2100,2100.0,5300529397.0,0.0,1,2.0,550100000,ST,1
68,60069943,2000,,0,,,,F,40.0,216,216.0,Z001,Z1,,,1,,2100,2100.0,5300529398.0,0.0,1,2.0,550100000,ST,1
69,60082304,2000,,0,,,,F,40.0,204,204.0,Z001,Z1,,,100,,2100,2100.0,5300529358.0,0.0,1,2.0,10200000,ST,1
70,60082906,2000,,0,,,,F,40.0,204,204.0,Z001,Z1,,,100,,2100,2100.0,5300529359.0,0.0,1,2.0,10200000,ST,1
71,60025915,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,3000,2100.0,5300377356.0,0.0,1,84.0,80100000,ST,1
72,60025916,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,3000,2100.0,5300377357.0,0.0,1,84.0,80100000,ST,1
73,60012535,2000,,0,,,,F,40.0,217,217.0,Z001,Z1,,,1,,2100,2100.0,5300359067.0,0.0,1,3.0,80100000,ST,1
74,60012535,2000,,0,,,,F,40.0,217,217.0,Z012,Z1,,,1,,3000,2100.0,5300359067.0,0.0,1,56.0,80100000,ST,1
75,60012851,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,,,100,,3000,2700.0,5300504044.0,0.0,1,140.0,140300000,ST,1
76,60017264,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,2100,,5300408441.0,0.0,1,3.0,100100000,ST,1
