,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
8689,34785100,715408,,0,,,,F,,223,223.0,Z004,TB,,,1,,2000,,5300436134.0,0.0,1.0,56,010402000,ST,0
2879,21461050UB,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E15,2100,,5300191373.0,3.0,1.0,42,10403000,ST,0
13924,21461300,2000,,0,,,,F,40.0,224,224.0,Z012,EX,,,1,,3000,3000.0,5300228562.0,0.0,1.0,42,10401000,ST,0
3479,25503100UB,2000,,0,,,,F,40.0,205,205.0,Z012,Z1,,,1,,3000,3000.0,5300260032.0,0.0,1.0,999,0,ST,0
5290,00170071,702795,,0,,,,F,,233,233.0,Z011,Y3,,,100,E13,2100,,5300016255.0,0.0,1.0,21,060100000,ST,0
10536,28199100,2100,,0,,,,F,41.0,224,224.0,Z012,Z4,,,1,,3000,3000.0,5300198936.0,0.0,1.0,42,10401000,ST,0
14511,23498306UB,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300234426.0,0.0,1.0,999,10102000,ST,0
7918,24755620UB,715646,,0,,,,F,,228,228.0,Z010,Y3,,,1,E11,2000,,5300522847.0,0.0,1.0,42,10401000,ST,0
7878,24932111UB,1000,,0,,,,F,,991,991.0,Z008,TB,,,100,,3000,,5300196368.0,0.0,1.0,3,10305000,ST,0
12573,80850151,2000,,0,,,,F,40.0,203,203.0,Z012,Y5,,,100,E11,3000,3000.0,5300297264.0,0.0,1.0,999,520100000,ST,0
7360,00390752,700225,,0,,,,F,,206,206.0,Z002,Z7,,,1,,2000,,5300012644.0,0.0,1.0,14,510200000,PAK,1
16563,23013300UB,2000,,0,,,,F,40.0,213,213.0,Z012,Z1,,,100,,3000,3000.0,5300228977.0,0.0,1.0,42,010401000,ST,0
8416,60066652,707779,,0,,,,F,,279,279.0,Z001,Y4,100.0,176.0,1,E13,3000,,5300436999.0,0.0,1.0,42,131400000,ST,0
11322,30062400,706883,,0,,,,F,,213,213.0,Z001,Z1,,,1,,2100,,5300101739.0,0.0,1.0,35,010501000,ST,0
6339,80821308,2000,,0,,,,F,40.0,203,203.0,Z012,Y3,,,100,E11,3000,3000.0,5300297185.0,0.0,1.0,999,520100000,ST,0
379,00385759,708008,,0,,,,F,,703,703.0,Z008,Y2,1010.0,5861.0,100,E11,2000,,5300126945.0,0.0,1.0,14,120000000,ST,0
7245,04002041,700535,,0,,,,F,,233,233.0,Z011,Z7,,,100,,2000,,5300106313.0,0.0,1.0,21,110500000,ST,0
5321,31070332,700000,,0,,,,F,,723,723.0,Z001,X3,,,1,E20,2000,,5300061256.0,0.0,1.0,21,010102000,ST,0
7588,24646401,2000,,0,,,,F,40.0,224,224.0,Z012,Z4,,,100,,3000,3000.0,5300250865.0,0.0,1.0,42,010102000,ST,0
7100,23063501UB,711636,,0,,,,F,,211,211.0,Z001,Z1,,,100,,2100,,5300188557.0,0.0,1.0,35,10102000,ST,0
7075,688471,2000,,0,,,,F,40.0,215,215.0,Z003,Z5,3330.0,8314.0,100,,2100,2100.0,5300294366.0,0.0,1.0,3,100201000,ST,0
11354,23087805,2000,,0,,,,F,40.0,224,224.0,Z012,Z4,,,100,,3000,3000.0,5300230573.0,0.0,1.0,42,010102000,ST,0
18330,24549800,3000,,0,,,,F,42.0,213,213.0,Z012,Z1,,,1,,2000,2000.0,5300458249.0,0.0,1.0,1,10401000,ST,0
16231,31044701,700000,,0,,,,F,,223,223.0,Z001,V3,,,1,E19,2100,,5300172964.0,0.0,1.0,28,010502000,ST,0
3570,60039341,709558,,0,,,,F,,228,228.0,Z001,Y3,,,1,E13,2100,,5300453837.0,0.0,1.0,35,10303000,ST,0
13461,00360890,700020,5500002584.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,X4,37140.0,79256.0,100,E20,2100,,5300123742.0,0.0,1.0,4,140100000,ST,0
5267,36020598,704955,,0,,,,F,,272,272.0,Z012,Z1,,,100,,3000,,5300141961.0,0.0,1.0,42,010102000,ST,0
11721,04103501,708105,,0,,,,F,,206,206.0,Z001,Z1,,,100,,2100,,5300135427.0,0.0,1.0,28,LEEB,ST,0
17997,60112651,2000,,0,,,,F,40.0,217,217.0,Z012,Z1,,,1,,3000,3000.0,5300528763.0,0.0,1.0,84,80400000,ST,0
1632,00200166,702324,5500004758.0,10,14.0,14.0,140.0,F,,731,731.0,Z008,Y5,64400.0,481412.0,100,E14,2000,,5300072232.0,0.0,1.0,14,100201000,ST,1
3843,25021079,2000,,0,,,,F,40.0,989,989.0,Z012,Z1,,,100,,3000,3000.0,5300257398.0,0.0,1.0,999,10102000,ST,0
2250,60017454,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300377625.0,0.0,1.0,14,520100000,ST,0
15862,60075534,715646,,0,,,,F,,228,228.0,Z010,Y2,,,1,E11,3000,,5300507122.0,0.0,1.0,28,10102000,ST,0
7273,24381100UB,2000,,0,,,,F,40.0,228,228.0,Z005,Z1,,,1,,3000,3000.0,5300245948.0,0.0,1.0,42,10401000,ST,0
1157,04002071,1900,,0,,,,F,,277,277.0,Z012,Y4,70.0,108141.0,1,E11,3000,,5300081632.0,0.0,1.0,33,050500000,ST,0
11402,30021415,701098,,0,,,,F,,279,279.0,Z001,Y4,40.0,8956.0,1,E15,3000,,5300179415.0,0.0,1.0,35,020100000,ST,1
12408,31504715UB,702225,,0,,,,F,,221,221.0,Z001,Z7,,,1,,2000,,5300040882.0,0.0,1.0,28,10102000,ST,0
12933,60024496,700985,,0,,,,F,,208,208.0,Z011,Y2,10.0,258.0,100,E13,2000,,5300377529.0,0.0,1.0,42,090100000,ST,0
11619,95070388,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2000,,5300174653.0,0.0,1.0,30,010304000,ST,0
