,Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,Anomaly_Score,Predicted_Label
3457,34985600,2100,,0,0,0,0,F,41.0,224,224.0,Z012,EX,0,0,1,,3000,3000.0,5300405889.0,0.0,1,42,10402000,ST,0.4431415382862749,1
3458,00006838,700222,,0,0,0,0,F,,272,272.0,Z012,Y5,0,0,1,E11,3000,,5300125924.0,0.0,1,14,070400000,ST,0.0157391304347826,1
3459,00360849,706261,,0,0,0,0,F,40.0,264,264.0,Z010,Y4,0,0,100,E11,2100,,5300149102.0,0.0,1,21,140100000,ST,0.3557619047619048,1
3460,23269001,2000,,0,0,0,0,F,72.0,211,211.0,Z012,Y3,0,0,1,E14,3000,3000.0,5300232109.0,0.0,1,28,10102000,ST,0.88,0
3461,00190029,700020,,0,0,0,0,F,,708,708.0,Z011,X4,0,0,100,E20,2100,,5300000782.0,0.0,1,21,140700000,ST,0.3557619047619048,1
3462,31146002UB,711636,,0,0,0,0,F,,211,211.0,Z002,Y3,0,0,100,E14,2000,,5300188246.0,0.0,1,21,10102000,ST,0.3557619047619048,1
3463,95121018UB,700000,,0,0,0,0,F,,723,723.0,Z001,X3,0,0,1,E20,2000,,5300080816.0,0.0,1,56,10102000,ST,0.1754642857142856,1
3464,00160106,702681,,0,0,0,0,F,,203,203.0,Z001,Y5,300,74194,1,E11,2000,,5300117538.0,0.0,1,168,110500000,ST,0.69,0
3465,34947701UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300286229.0,0.0,1,42,10301000,ST,0.4431415382862749,1
3466,00310781,700095,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2100,,5300003961.0,0.0,40,70,030202000,ST,0.94,0
3467,23472402,702225,,0,0,0,0,F,,213,213.0,Z008,Z2,0,0,1,,2100,,5300030737.0,0.0,1,56,010102000,ST,0.1754642857142856,1
3468,35183201,700151,,0,0,0,0,F,,233,233.0,Z011,Y4,280,110519,1,E13,2000,,5300090383.0,0.0,1,42,060100000,ST,0.5725,0
3469,34251700UB,700000,,0,0,0,0,F,30.0,723,723.0,Z001,V3,0,0,1,E19,2100,,5300061543.0,3.0,1,42,10401000,ST,0.4431415382862749,1
3470,80740903,702590,,0,0,0,0,F,,203,203.0,Z008,Y6,0,0,100,E11,2100,,5300098210.0,0.0,1,14,520100000,ST,0.6729007936507937,0
3471,28145205UB,700000,,0,0,0,0,F,,723,723.0,Z001,V3,0,0,1,E19,2100,,5300173188.0,0.0,1,28,10102000,ST,0.88,0
3472,60026312,2100,,0,0,0,0,F,41.0,996,998.0,Z012,Z1,0,0,1,,3000,3000.0,5300520056.0,0.0,1,999,010403000,ST,0.0,1
3473,60094754,708008,,0,0,0,0,F,,996,203.0,Z008,Y2,0,0,100,E11,2100,,5300501476.0,0.0,1,999,520200000,ST,0.51,0
3474,04001469,708174,,0,0,0,0,F,40.0,207,207.0,Z001,Z1,0,0,1000,,2100,,5300135583.0,0.0,1,3,100201000,MM,0.2013383838383838,1
3475,00310176,705073,,0,0,0,0,F,,203,203.0,Z001,Z1,380,24912,1,,3000,,5300077635.0,0.0,1,49,030202000,ST,0.6,0
3476,24903302UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z5,0,0,100,,3000,3000.0,5300255263.0,0.0,1,999,10102000,ST,0.51,0
3477,24263201,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2000,,5300031921.0,0.0,1,28,010305000,ST,0.88,0
3478,23117200UB,700119,,0,0,0,0,F,,228,228.0,Z008,Y9,0,0,1,E15,2100,,5300191142.0,0.0,1,42,10403000,ST,0.4431415382862749,1
3479,25503100UB,2000,,0,0,0,0,F,40.0,205,205.0,Z012,Z1,0,0,1,,3000,3000.0,5300260032.0,0.0,1,999,0,ST,0.0,1
3480,60024984,707145,,0,0,0,0,F,,233,233.0,Z008,Y2,20,32103,1,E13,3000,,5300376820.0,0.0,1,7,110500000,ST,0.28,1
3481,04001023,708174,,0,0,0,0,F,,707,707.0,Z001,Z2,0,0,1,,2100,,5300135575.0,0.0,1,14,100201000,M,0.0157391304347826,1
3482,04104023,701112,,0,0,0,0,F,,272,272.0,Z012,Z1,10,26638,1,,3000,,5300125198.0,0.0,1,14,140100000,ST,0.35,1
3483,00230102,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,560,534,100,,3000,3000.0,5300205041.0,0.0,1,84,140700000,ST,0.42,1
3484,60044204,700000,,0,0,0,0,F,,723,723.0,Z001,X3,310,1712,100,E20,2000,,5300425457.0,0.0,1,35,010502000,ST,0.3566666666666667,1
3485,31084400,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300270937.0,0.0,1,42,010401000,ST,0.4431415382862749,1
3486,60019052,718702,,0,0,0,0,F,,228,228.0,Z010,Y2,290,41006,100,E13,2000,,5300545198.0,0.0,1,28,010102000,ST,0.27,1
3487,33611300UB,704276,,0,0,0,0,F,,228,228.0,Z001,Y2,0,0,1,E14,2000,,5300147079.0,0.0,1,42,10401000,ST,0.4431415382862749,1
3488,80710906,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y9,0,0,100,E11,3000,3000.0,5300296476.0,0.0,1,14,520100000,ST,0.6729007936507937,0
3489,80661318,702590,,0,0,0,0,F,,203,203.0,Z008,Y6,0,0,100,E11,2000,,5300179624.0,0.0,1,14,520100000,ST,0.6729007936507937,0
3490,24429500UB,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300174369.0,0.0,1,42,10401000,ST,0.4431415382862749,1
3491,31088000,2000,,0,0,0,0,F,40.0,224,224.0,Z012,EX,0,0,1,,3000,3000.0,5300271022.0,0.0,1,42,10402000,ST,0.4431415382862749,1
3492,00347243,2000,,0,0,0,0,F,40.0,215,215.0,Z001,Z1,0,0,100,,2100,3000.0,5300529399.0,0.0,1,2,80600000,ST,0.0,1
3493,60046669,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300422206.0,0.0,1,70,010102000,ST,0.985,0
3494,23963800UB,704955,,0,0,0,0,F,,228,228.0,Z001,Z3,0,0,1,,2100,,5300089371.0,0.0,1,42,10401000,ST,0.4431415382862749,1
3495,24553402UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,1,,3000,3000.0,5300248402.0,0.0,1,42,10102000,ST,0.4431415382862749,1
3496,24260900,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,40,42736,1,,3000,3000.0,5300243999.0,0.0,1,42,010401000,ST,0.5430555555555556,0
3497,30076500,2100,,0,0,0,0,F,41.0,992,992.0,Z003,TB,0,0,1,,2000,3000.0,5300124045.0,0.0,2,2,010403000,ST,0.3942142857142857,1
3498,01552302UB,2000,,0,0,0,0,F,40.0,711,711.0,Z012,Y3,0,0,1,E14,3000,3000.0,5300223429.0,0.0,1,28,10102000,ST,0.88,0
3499,00100593,700222,,0,0,0,0,F,,208,208.0,Z011,Y3,0,0,100,E11,2000,,5300083646.0,0.0,1,21,070300000,ST,0.3557619047619048,1
3500,96060802,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,1,,2000,,5300046814.0,0.0,1,28,010102000,ST,0.88,0
3501,00110780,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y2,0,0,1,E13,3000,3000.0,5300201482.0,0.0,1,28,80900000,ST,0.88,0
3502,24446100UB,704926,,0,0,0,0,F,30.0,223,223.0,Z001,Z1,0,0,1,,2100,,5300153730.0,3.0,1,42,10403000,ST,0.4431415382862749,1
3503,31265003UB,700000,,0,0,0,0,F,,223,223.0,Z001,V3,0,0,100,E19,2100,,5300138907.0,0.0,1,42,10102000,ST,0.8318333333333335,0
3504,23777800,715408,,0,0,0,0,F,,223,223.0,Z004,TB,30,653185,1,,2100,,5300435083.0,0.0,1,56,010403000,ST,0.17,1
3505,04002984,705828,,0,0,0,0,F,,203,203.0,Z001,Z7,0,0,1,,2100,,5300106897.0,0.0,1,14,100400000,ST,0.0157391304347826,1
3506,30980195,702236,,0,0,0,0,F,,708,708.0,Z011,Y2,0,0,1,E11,2000,,5300393999.0,0.0,1,42,070400000,ST,0.4431415382862749,1
3507,34570300UB,715408,,0,0,0,0,F,30.0,223,223.0,Z004,TB,0,0,1,,2100,,5300435383.0,3.0,1,56,10403000,ST,0.1754642857142856,1
3508,95153046,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,100,,2100,,5300114982.0,0.0,1,28,010102000,ST,0.3663333333333333,1
3509,00370814,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,100,E11,2000,,5300185154.0,0.0,1,21,140300000,ST,0.3557619047619048,1
3510,60009013,702399,,0,0,0,0,F,,228,228.0,Z001,Y4,0,0,1,E14,2000,,5300357924.0,0.0,1,42,10401000,ST,0.4431415382862749,1
3511,60130522,2000,,0,0,0,0,F,40.0,217,217.0,Z012,Z1,0,0,1,,3000,3000.0,5300548052.0,0.0,1,84,80100000,ST,0.0,1
3512,24555400UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z3,0,0,1,,3000,3000.0,5300248455.0,0.0,1,42,10401000,ST,0.4431415382862749,1
3513,04005981,709454,,0,0,0,0,F,,206,206.0,Z001,Z7,40,388,100,,2000,,5300166315.0,0.0,1,30,600400000,ST,0.3279999999999999,1
3514,27031815UB,702225,,0,0,0,0,F,,213,213.0,Z001,Z7,0,0,1,,2000,,5300034179.0,0.0,1,28,10102000,ST,0.88,0
3515,23194302,701528,4600011946.0,10,14,0,0,F,,233,233.0,Z011,Y4,0,0,1,E14,2000,,5300091829.0,0.0,1,84,60100000,ST,0.07,1
3516,82010440UB,704276,,0,0,0,0,F,,228,228.0,Z001,Y2,0,0,1,E14,2000,,5300092643.0,0.0,1,42,10401000,ST,0.4431415382862749,1
3517,00360317,700020,,0,0,0,0,F,,208,208.0,Z011,X4,550,499,100,E20,3000,,5300018552.0,0.0,1,13,140100000,ST,0.2534642857142857,1
3518,60027071,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300378929.0,0.0,1,42,10401000,ST,0.4431415382862749,1
3519,60092027,700020,,0,0,0,0,F,,208,208.0,Z011,X4,12370,10489,100,E20,2100,,5300494423.0,0.0,1,14,140000000,ST,0.06,1
3520,31105800UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z3,0,0,1,,3000,3000.0,5300271364.0,0.0,1,42,10401000,ST,0.4431415382862749,1
3521,24448900UB,715646,,0,0,0,0,F,,228,228.0,Z010,Y3,0,0,100,E13,2100,,5300501747.0,0.0,1,42,010401000,ST,0.8318333333333335,0
