Unnamed: 0,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,Anomaly_Score,Predicted_Label
4597,36010158,702779,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300110939.0,0.0,1.0,21,80100000,ST,36010158,702779,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1000,,2100,,5300110939.0,0.0,1,21,080100000,ST,0.1693333333333333,1
4730,00270351,701348,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E14,2100,,5300008485.0,0.0,1.0,28,100300000,MM,00270351,701348,,0,0,0,0,F,,206,206.0,Z001,Y4,0,0,1000,E14,2100,,5300008485.0,0.0,1,28,100300000,MM,0.17,1
4802,00400354,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300017792.0,0.0,1.0,14,10303000,MM,00400354,700464,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,1000,,2100,,5300017792.0,0.0,1,14,010303000,MM,0.2388690476190476,1
4877,00402025,703535,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300020953.0,0.0,10.0,49,131000000,ST,00402025,703535,,0,0,0,0,F,,203,203.0,Z002,Z2,0,0,1,,2000,,5300020953.0,0.0,10,49,131000000,ST,0.4522371794871794,1
4952,00400592,702533,,0,,,,F,,206,206.0,Z001,Z7,24884.0,11198.0,1000,,2000,,5300019682.0,0.0,1.0,21,10305000,MM,00400592,702533,,0,0,0,0,F,,206,206.0,Z001,Z7,24884,11198,1000,,2000,,5300019682.0,0.0,1,21,010305000,MM,0.06,1
5078,00400977,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300019945.0,0.0,1.0,14,10301000,MM,00400977,702533,,0,0,0,0,F,,206,206.0,Z002,Z7,0,0,1000,,2000,,5300019945.0,0.0,1,14,010301000,MM,0.2388690476190476,1
5096,00311124UB,700095,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300082491.0,0.0,10.0,56,30203000,ST,00311124UB,700095,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300082491.0,0.0,10,56,030203000,ST,0.1949761904761904,1
5147,00400685,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300063412.0,0.0,1.0,21,10202000,MM,00400685,702533,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,1000,,2000,,5300063412.0,0.0,1,21,010202000,MM,0.1693333333333333,1
5153,00400740,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018513.0,0.0,1.0,14,10205000,MM,00400740,702533,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1000,,2100,,5300018513.0,0.0,1,14,010205000,MM,0.2388690476190476,1
5185,00121077,700222,,0,,,,F,,708,708.0,Z011,Y3,,,1000,E11,2000,,5300121611.0,0.0,1.0,21,100300000,MM,00121077,700222,,0,0,0,0,F,,708,708.0,Z011,Y3,0,0,1000,E11,2000,,5300121611.0,0.0,1,21,100300000,MM,0.1693333333333333,1
