Unnamed: 0,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Gesamtbestand,Gesamtwert,Preiseinheit,WE-Bearbeitungszeit,Planlieferzeit Mat-Stamm,anomaly
576,24596806,2000,,0,,,,F,40.0,206,206.0,Z012,Z1,33900.0,856176.0,100,,3000,3000.0,5300183589.0,0.0,1.0,120,100200000,ST,0,0,0,33900,856176,100,1,120,1
592,04001889,702779,,0,,,,F,,276,276.0,Z012,Y4,1610.0,17944.0,100,E11,3000,,5300106222.0,0.0,1.0,14,80600000,ST,0,0,0,1610,17944,100,1,14,1
595,60054443,2100,,0,,,,F,41.0,215,215.0,Z001,Z3,23050.0,8059074.0,1,,2000,2000.0,5300497768.0,0.0,1.0,2,80400000,ST,0,0,0,23050,8059074,1,1,2,1
602,60126996,708008,,0,,,,F,,203,203.0,Z001,Y9,1610.0,69246.0,100,E11,2000,,5300545047.0,0.0,1.0,14,120000000,ST,0,0,0,1610,69246,100,1,14,1
615,00370027,700020,,0,,,,F,,208,208.0,Z011,X4,9930.0,616.0,100,E20,2000,,5300020219.0,0.0,1.0,12,140100000,ST,0,0,0,9930,616,100,1,12,1
619,01240781,701710,5500008471.0,10,14.0,14.0,50.0,F,,231,231.0,Z008,Y5,3560.0,44243.0,100,E14,3000,,5300126703.0,0.0,1.0,42,100202000,ST,14,14,50,3560,44243,100,1,42,1
661,00345335,711970,5500002122.0,20,14.0,14.0,84.0,F,,715,715.0,Z001,Y5,180.0,322559.0,1,E13,2000,,5300193701.0,0.0,1.0,84,80100000,ST,14,14,84,180,322559,1,1,84,1
708,60036215,700535,,0,,,,F,,233,233.0,Z011,Z1,320.0,4116176.0,1,,2000,,5300387136.0,0.0,1.0,21,110400000,ST,0,0,0,320,4116176,1,1,21,1
727,00170240,2000,,0,,,,F,40.0,203,203.0,Z012,Y3,1400.0,26059.0,100,E13,3000,2100.0,5300203800.0,0.0,1.0,140,140700000,ST,0,0,0,1400,26059,100,1,140,1
730,00402009,703535,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300020907.0,0.0,40.0,49,131000000,ST,0,0,0,0,0,1,40,49,1
758,00370142,700020,,0,,,,F,,208,208.0,Z011,X4,37010.0,39356.0,100,E20,2000,,5300001459.0,0.0,1.0,12,140100000,ST,0,0,0,37010,39356,100,1,12,1
783,00347444,708038,5500006688.0,10,14.0,14.0,84.0,F,,715,715.0,Z001,Y6,1380.0,299679.0,100,E11,2000,,5300165508.0,0.0,1.0,84,80600000,ST,14,14,84,1380,299679,100,1,84,1
823,60082030,708038,5500006772.0,10,14.0,14.0,84.0,F,,715,715.0,Z001,Y6,1460.0,143856.0,100,E11,2100,,5300467480.0,0.0,1.0,84,80100000,ST,14,14,84,1460,143856,100,1,84,1
836,00170216,2000,,0,,,,F,40.0,203,203.0,Z012,Y3,1480.0,49528.0,100,E13,3000,2100.0,5300178932.0,0.0,1.0,112,140700000,ST,0,0,0,1480,49528,100,1,112,1
911,95194054,714899,,0,,,,F,,213,213.0,Z008,Y6,11960.0,785155.0,1,E14,2000,,5300442627.0,0.0,1.0,56,10401000,ST,0,0,0,11960,785155,1,1,56,1
937,60015272,700230,5500002573.0,20,14.0,14.0,84.0,F,,715,715.0,Z001,Y5,19130.0,82607.0,100,E14,2000,,5300363604.0,0.0,1.0,14,100202000,ST,14,14,84,19130,82607,100,1,14,1
938,04102131,701112,,0,,,,F,,272,272.0,Z012,Z7,100.0,84503.0,1,,3000,,5300104221.0,0.0,1.0,5,90100000,ST,0,0,0,100,84503,1,1,5,1
941,04004280,713050,,0,,,,F,,279,279.0,Z001,Z7,5200.0,2403934.0,1,,3000,,5300373108.0,0.0,1.0,35,131400000,ST,0,0,0,5200,2403934,1,1,35,1
945,00370580,701806,5500000463.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,10580.0,16782.0,100,E98,2000,,5300174173.0,0.0,2.0,4,140100000,ST,4,4,60,10580,16782,100,2,4,1
955,00130577,700049,,0,,,,F,,203,203.0,Z011,Y5,250.0,59670.0,1,E11,2000,,5300014393.0,0.0,1.0,35,70200000,ST,0,0,0,250,59670,1,1,35,1
965,95161068,703002,,0,,,,F,,208,208.0,Z001,Y9,1690.0,683605.0,1,E11,3000,,5300142991.0,0.0,1.0,84,110600000,ST,0,0,0,1690,683605,1,1,84,1
979,34757701,702750,,0,,,,F,,203,203.0,Z011,Y5,260.0,37417.0,1,E15,2000,,5300046287.0,0.0,1.0,210,131300000,ST,0,0,0,260,37417,1,1,210,1
