Unnamed: 0,Material number_x,Supplier_x,Contract_x,Contract Position_x,Fulfillment time_x,Fixed contract 1_x,Fixed contract 2_x,Procurement type_x,Special procurement type_x,Dispatcher_x,Buyer_x,Purchasing group_x,Purchasing lot size_x,Total quantity_x,Total value_x,Price unit_x,Calendar_x,Plant_x,Plant information record_x,Information record number_x,Information record type_x,Plant processing time_x,Material master time_x,Product group_x,Base unit_x,Material number_y,Supplier_y,Contract_y,Contract Position_y,Fulfillment time_y,Fixed contract 1_y,Fixed contract 2_y,Procurement type_y,Special procurement type_y,Dispatcher_y,Buyer_y,Purchasing group_y,Purchasing lot size_y,Total quantity_y,Total value_y,Price unit_y,Calendar_y,Plant_y,Plant information record_y,Information record number_y,Information record type_y,Plant processing time_y,Material master time_y,Product group_y,Base unit_y,if_anomaly
595,60054443,2100,,0,,,,F,41.0,215,215.0,Z001,Z3,23050.0,8059074.0,1,,2000,2000.0,5300497768.0,0.0,1.0,2,80400000,ST,60054443,2100,,0,,,,F,41.0,215,215.0,Z001,Z3,23050.0,8059074.0,1,,2000,2000.0,5300497768.0,0.0,1.0,2,80400000,ST,0
615,00370027,700020,,0,,,,F,,208,208.0,Z011,X4,9930.0,616.0,100,E20,2000,,5300020219.0,0.0,1.0,12,140100000,ST,00370027,700020,,0,,,,F,,208,208.0,Z011,X4,9930.0,616.0,100,E20,2000,,5300020219.0,0.0,1.0,12,140100000,ST,0
650,00384088,708008,,0,,,,F,,703,703.0,Z008,Y2,,,1000,E11,2000,,5300126891.0,0.0,1.0,14,120000000,MM,00384088,708008,,0,,,,F,,703,703.0,Z008,Y2,,,1000,E11,2000,,5300126891.0,0.0,1.0,14,120000000,MM,0
661,00345335,711970,5500002122.0,20,14.0,14.0,84.0,F,,715,715.0,Z001,Y5,180.0,322559.0,1,E13,2000,,5300193701.0,0.0,1.0,84,80100000,ST,00345335,711970,5500002122.0,20,14.0,14.0,84.0,F,,715,715.0,Z001,Y5,180.0,322559.0,1,E13,2000,,5300193701.0,0.0,1.0,84,80100000,ST,0
715,80360107,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300168995.0,0.0,1.0,14,520100000,ST,80360107,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300168995.0,0.0,1.0,14,520100000,ST,0
725,00400123,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016724.0,0.0,1.0,14,10201000,MM,00400123,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016724.0,0.0,1.0,14,10201000,MM,0
758,00370142,700020,,0,,,,F,,208,208.0,Z011,X4,37010.0,39356.0,100,E20,2000,,5300001459.0,0.0,1.0,12,140100000,ST,00370142,700020,,0,,,,F,,208,208.0,Z011,X4,37010.0,39356.0,100,E20,2000,,5300001459.0,0.0,1.0,12,140100000,ST,0
778,60017613,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300375549.0,0.0,1.0,14,520100000,ST,60017613,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300375549.0,0.0,1.0,14,520100000,ST,0
783,00347444,708038,5500006688.0,10,14.0,14.0,84.0,F,,715,715.0,Z001,Y6,1380.0,299679.0,100,E11,2000,,5300165508.0,0.0,1.0,84,80600000,ST,00347444,708038,5500006688.0,10,14.0,14.0,84.0,F,,715,715.0,Z001,Y6,1380.0,299679.0,100,E11,2000,,5300165508.0,0.0,1.0,84,80600000,ST,0
823,60082030,708038,5500006772.0,10,14.0,14.0,84.0,F,,715,715.0,Z001,Y6,1460.0,143856.0,100,E11,2100,,5300467480.0,0.0,1.0,84,80100000,ST,60082030,708038,5500006772.0,10,14.0,14.0,84.0,F,,715,715.0,Z001,Y6,1460.0,143856.0,100,E11,2100,,5300467480.0,0.0,1.0,84,80100000,ST,0
878,30020645,700151,,0,,,,F,40.0,233,233.0,Z011,Y4,,,1000,E15,2100,,5300191359.0,0.0,1.0,3,60100000,ST,30020645,700151,,0,,,,F,40.0,233,233.0,Z011,Y4,,,1000,E15,2100,,5300191359.0,0.0,1.0,3,60100000,ST,0
937,60015272,700230,5500002573.0,20,14.0,14.0,84.0,F,,715,715.0,Z001,Y5,19130.0,82607.0,100,E14,2000,,5300363604.0,0.0,1.0,14,100202000,ST,60015272,700230,5500002573.0,20,14.0,14.0,84.0,F,,715,715.0,Z001,Y5,19130.0,82607.0,100,E14,2000,,5300363604.0,0.0,1.0,14,100202000,ST,0
941,04004280,713050,,0,,,,F,,279,279.0,Z001,Z7,5200.0,2403934.0,1,,3000,,5300373108.0,0.0,1.0,35,131400000,ST,04004280,713050,,0,,,,F,,279,279.0,Z001,Z7,5200.0,2403934.0,1,,3000,,5300373108.0,0.0,1.0,35,131400000,ST,0
